,Names,Situacoes
0,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,Concedido em 24/06/2009
1,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,Concedido em 21/05/2014
2,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,Concedido em 09/11/2020
3,AES TIETÊ ENERGIA S.A,Concedido em 29/06/2001
4,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,Concedido em 24/09/2010
5,AGRO INDÚSTRIAS DO VALE SÃO FRANCISCO S/A,Concedido em 21/10/1994
6,AGROINDUSTRIAL DE CEREAIS VERDES CAMPOS S.A.,Concedido em 18/12/2013
7,AGROINDUSTRIAL VERA CRUZ S/A,Concedido em 04/10/1990
8,AGROPECUÁRIA PINGUIM S.A.,Concedido em 22/08/2012
9,AGUAS GUARIROBA S.A.,Concedido em 06/08/2014
10,ALEF SA,Concedido em 08/12/1997
11,ALFA HOLDINGS SA,Concedido em 20/07/1977
12,ALGAR TELECOM S/A,Concedido em 27/07/2007
13,ALIANSCE SONAE SHOPPING CENTERS S.A.,Concedido em 01/02/2011
14,ALLIED TECNOLOGIA S.A.,Concedido em 25/11/2020
15,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",Concedido em 13/05/2020
16,ALPARGATAS SA,Concedido em 20/07/1977
17,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,Concedido em 28/10/2010
18,ALPHAVILLE S.A.,Concedido em 05/11/2020
19,ALTERE SECURITIZADORA S.A.,Concedido em 10/12/1998
20,ALUMAZON COMPONENTES DA AM S A,Concedido em 02/12/2019
21,ALUPAR INVESTIMENTO S/A,Concedido em 18/06/2008
22,AMBEV S.A.,Concedido em 30/10/2013
23,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,Concedido em 15/05/2020
24,AMPLA ENERGIA E SERVIÇOS S.A.,Concedido em 15/08/1969
25,ANIMA HOLDING S/A,Concedido em 24/10/2013
26,AREZZO INDÚSTRIA E COMERCIO S/A,Concedido em 31/01/2011
27,ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,Concedido em 24/04/2017
28,ARGO TRANSMISSÃO DE ENERGIA S.A.,Concedido em 22/09/2017
29,ARTERIS S.A.,Concedido em 06/07/2005
30,ATACADÃO S.A.,Concedido em 18/07/2017
31,ATMA  PARTICIPAÇÕES  S.A.,Concedido em 29/10/2001
32,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,Concedido em 28/02/1996
33,AURA MINERALS INC,Concedido em 15/06/2020
34,AUTOPISTA FERNÃO DIAS SA,Concedido em 29/03/2010
35,AUTOPISTA FLUMINENSE SA,Concedido em 29/03/2010
36,AUTOPISTA LITORAL SUL,Concedido em 29/03/2010
37,AUTOPISTA PLANALTO SUL SA,Concedido em 29/03/2010
38,AUTOPISTA REGIS BITTENCOURT SA,Concedido em 29/03/2010
39,AZEVEDO & TRAVASSOS SA,Concedido em 20/08/1984
40,AZUL S.A.,Concedido em 07/04/2017
41,B2W - COMPANHIA DIGITAL,Concedido em 26/07/2007
42,"B3 S.A. - BRASIL, BOLSA, BALCÃO",Concedido em 11/08/2008
43,BAHEMA EDUCACAO S.A.,Concedido em 02/01/1974
44,BANCO ABC BRASIL S/A,Concedido em 23/07/2007
45,BANCO ALFA DE INVESTIMENTO S.A.,Concedido em 20/07/1977
46,BANCO BMG S/A,Concedido em 17/12/2018
47,BANCO BRADESCO S.A.,Concedido em 20/07/1977
48,BANCO BTG PACTUAL S/A,Concedido em 10/11/2011
49,BANCO DA AMAZÔNIA S.A.,Concedido em 20/07/1977
50,BANCO DAYCOVAL S.A.,Concedido em 27/06/2007
51,BANCO DO BRASIL S.A.,Concedido em 20/07/1977
52,BANCO DO ESTADO DE SERGIPE SA,Concedido em 20/07/1977
53,BANCO DO ESTADO DO PARÁ S/A.,Concedido em 20/07/1977
54,BANCO DO ESTADO DO RIO GRANDE DO SUL SA,Concedido em 20/07/1977
55,BANCO DO NORDESTE DO BRASIL SA,Concedido em 20/07/1977
56,BANCO ECONOMICO SA - EM LIQUIDAÇÃO EXTRAJUDICIAL,Concedido em 20/07/1977
57,BANCO INDUSVAL S.A.,Concedido em 10/07/2007
58,BANCO INTER S.A.,Concedido em 26/04/2018
59,BANCO MERCANTIL BRASIL SA,Concedido em 20/07/1977
60,BANCO MERCANTIL DE INVESTIMENTOS S.A.,Concedido em 20/07/1977
61,BANCO NACIONAL S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,Concedido em 20/07/1977
62,BANCO PAN SA,Concedido em 12/11/2007
63,BANCO PINE S/A,Concedido em 27/03/2007
64,BANCO RCI BRASIL S.A.,Concedido em 29/04/2008
65,BANCO SANTANDER (BRASIL) S.A.,Concedido em 02/03/2007
66,BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO,Concedido em 20/07/1977
67,BANRISUL ARMAZENS GERAIS SA,Concedido em 18/10/1996
68,BANRISUL CARTÕES S.A.,Concedido em 27/09/2018
69,BARDELLA S.A. INDS MECANICAS - EM RECUPERAÇÃO JUDICIAL,Concedido em 26/11/1969
70,BARIGUI SECURITIZADORA SA,Concedido em 29/12/2009
71,BASE SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A.,Concedido em 21/05/2020
72,BATTISTELLA ADM E PARTICIPAÇÕES S A,Concedido em 14/03/1996
73,BAUMER SA,Concedido em 20/05/1970
74,BB SEGURIDADE PARTICIPAÇÕES S.A.,Concedido em 25/04/2013
75,BBM LOGÍSTICA S.A.,Concedido em 27/02/2019
76,BCBF PARTICIPAÇÕES S.A.,Concedido em 16/09/2019
77,BELAP AGROPEC SA,Concedido em 28/03/1990
78,BETAPART PARTICIPAÇÕES SA,Concedido em 06/11/1998
